Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
West Fork Mayfield Creek FRS 12,West Fork Mayfield Creek FRS 12,,KY00755,,KY00755,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00755,36.795976,-88.803786,Kentucky,Graves,FANCY FARM-VICINITY,,MAYFIELD CREEK,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,22,,,22,Less than 25 feet,600,,1975,1970-1979,,55.3,55.3,17,4.8,0.22,,Uncontrolled,,,,,,,,5/7/2024,1/24/2020,1,Low,Poor,1/24/2020,,,Not Required,,No,https://damsafety.org/kentucky
Donaldson Creek FRS No 3b,Farmersville Lake,,KY01028,,KY01028,DONALDSON CREEK CONS DIST,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE;USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY01028,37.18,-87.92,Kentucky,Caldwell,NO TOWN,,DONALDSON CREEK,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,25,,,25,25-50 feet,1300,,1983,1980-1989,,1150,1150,58,27.4,4.7,,Uncontrolled,,,,,,,,5/24/2021,3/27/2012,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS No 24,Rendering Plant Lake,,KY00325,,KY00325,LOGAN COUNTY SOIL CONSERVATION DISTRICT,Local Government,Local Government,0,No,"HARZA ENGINEERING COMPANY, CHICAGO, ILL.;USDA/USDA NRCS",,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00325,36.905127,-86.88861,Kentucky,Logan,COOPERSTOWN-AREA,3,MUD RIVER,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,30,,,30,25-50 feet,650,,1961,1960-1969,,1327.9,1327.9,122,24.5,4.2,,Uncontrolled,,,,,,,,5/24/2021,3/8/2017,5,Low,Fair,3/8/2017,,,Not Required,,No,https://damsafety.org/kentucky
East Fork Pond River FRS No 9a,East Fork Pond River FRS No 9a,,KY00283,,KY00283,MUHLENBERG COUNTY SOIL CONSERVATION DISTRICT,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00283,37.083117,-87.155885,Kentucky,Muhlenberg,FIES,32,POND RIVER,"Kentucky, Congressional District 02",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,38,,,38,25-50 feet,570,,1964,1960-1969,,530,530,88,10.8,2.36,,Uncontrolled,,,,,,,,5/24/2021,2/9/2017,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS No 43,Alfred Givins Lake,,KY00351,,KY00351,BUTLER COUNTY SOIL CONSERVATION DISTRICT,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00351,37.073915,-86.863238,Kentucky,Butler,FORGYS MILL,3,MUD RIVER,"Kentucky, Congressional District 02",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,18,,,18,Less than 25 feet,630,,1963,1960-1969,,150,150,21.6,7.6,0.72,,Uncontrolled,,,,,,,,4/9/2021,5/2/2017,5,Low,Satisfactory,5/2/2017,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS No 22,Turners Lake,,KY00349,,KY00349,LOGAN COUNTY SOIL CONSERVATION DISTRICT,Local Government,Local Government,0,No,"HARZA ENGINEERING COMPANY, CHICAGO, ILL.;USDA/USDA NRCS",,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00349,36.83707,-86.84048,Kentucky,Logan,RUSSELLVILLE-VICINITY,1,MUD RIVER,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,22,,,22,Less than 25 feet,680,,1963,1960-1969,,275,275,20.7,6,0.72,,Uncontrolled,20,,,,,,,5/24/2021,1/10/2017,3,Significant,Fair,1/10/2017,,,Yes,8/18/2008,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 17,West Fork Mayfield Creek FRS 17,,KY00829,,KY00829,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00829,36.81594,-88.83691,Kentucky,Carlisle,NO TOWN,,WEST FORK MAYFIELD CREEK,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,23,,,23,Less than 25 feet,545,,1978,1970-1979,,115,115,21.1,5.7,0.28,,Uncontrolled,,,,,,,,5/24/2021,2/9/2017,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Fox Creek MPS 4,Fox Creek Mps No 4,,KY00258,,KY00258,FOX CREEK WATERSHED CONSERVANCY DISTRICT,Local Government,Local Government,0,No,SCHNABEL ENGINEERING;SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00258,38.385375,-83.613672,Kentucky,Fleming,GODDARD,2,FOX CREEK,"Kentucky, Congressional District 06",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,43,,,43,25-50 feet,500,,1968,1960-1969,2012,3909,3909,523,74.3,7.31,,Uncontrolled,295,,,,,,,3/19/2025,2/26/2025,1,High,Poor,2/26/2025,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS No 50,West Fork Mayfield Creek FRS No 50,,KY00359,,KY00359,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00359,36.846222,-88.891339,Kentucky,Carlisle,NO TOWN,,MAYFIELD CREEK,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,22,,,22,Less than 25 feet,430,,1972,1970-1979,,67,67,17,3.7,0.23,,Uncontrolled,,,,,,,,5/24/2021,5/7/2018,5,Low,Fair,5/7/2018,,,Not Required,,No,https://damsafety.org/kentucky
Underground Mine Water Management Storage Impound.,,,IL83469,,IL83469,THE AMERICAN COAL COMPANY,Private,Private,0,No,,,Water Supply,Water Supply,Mine Safety and Health Administration,IL08-02752-05,37.8143,-88.5952,Illinois,Saline,HARRISBURG,,,"Illinois, Congressional District 12",,Yes,Yes,IDNR,Yes,Yes,Yes,Yes,,,,,Mine Safety and Health Administration,Mine Safety and Health Administration,,,No,N/A,Earth,Earth,,,15,,,15,Less than 25 feet,,,,Undetermined,,62,62,,,,,,,,,,,,,12/1/2023,1/5/2004,,Low,Not Available,,,,No,,No,https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams
Carter Lake Dam 2,Carter Lake Reservoir,,CO01650,S001,CO01650S001,BUREAU OF RECLAMATION,Federal,Federal,0,Yes,,No,Hydroelectric,Hydroelectric;Irrigation;Recreation,Bureau of Reclamation,,40.3398,-105.207,Colorado,Larimer,BERTHOUD,8,DRY CREEK-TR,"Colorado, Congressional District 02",,Yes,Yes,DWR,Yes,Yes,Yes,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,,,55,60,75,75,51-100 feet,1150,321200,1952,1950-1959,,116837,116837,112200,3551,,,None,0,0,0,0,,,,11/21/2024,9/17/2020,4,High,Not Available,,,,Yes,1/24/2020,No,https://www.usbr.gov/ssle/damsafety/
Carter Lake Dam 3,Carter Lake Reservoir,,CO01650,S002,CO01650S002,BUREAU OF RECLAMATION,Federal,Federal,0,Yes,,No,Hydroelectric,Hydroelectric;Irrigation;Water Supply,Bureau of Reclamation,,40.3517,-105.211,Colorado,Larimer,LOVELAND,7,BIG THOMPSON RIVER OS,"Colorado, Congressional District 02",,Yes,Yes,DWR,Yes,Yes,Yes,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,,,55,45,55,55,51-100 feet,1425,211900,1951,1950-1959,,116837,116837,112228,3551,,,None,0,0,0,0,,,,11/21/2024,9/17/2020,4,High,Not Available,,,,Yes,1/24/2020,No,https://www.usbr.gov/ssle/damsafety/
Mt. Pleasant - Pleasant Creek (Lower),,,UT00508,,UT00508,MT. PLEASANT CITY,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Utah,UT00508,39.5485142,-111.4257422,Utah,Sanpete,MT. PLEASANT,1,PLEASANT CREEK,"Utah, Congressional District 04",,Yes,Yes,Utah Division of Water Rights,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1953 Pilot Watershed Program (Public Law 83-156),Earth,Earth,,,,,20,20,Less than 25 feet,2200,,,Undetermined,,0,,,,19.2,,,,,,,,,,3/28/2024,5/31/2023,3,Significant,Not Rated,,,,Yes,7/17/2012,No,https://damsafety.org/utah
Mt. Pleasant - Pleasant Creek (Upper),,,UT00507,,UT00507,MT. PLEASANT CITY,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Utah,UT00507,39.54684774,-111.3924065,Utah,Sanpete,MT. PLEASANT,3,PLEASANT CREEK,"Utah, Congressional District 04",,Yes,Yes,Utah Division of Water Rights,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1953 Pilot Watershed Program (Public Law 83-156),Earth,Earth,,,,10,20,20,Less than 25 feet,2100,,,Undetermined,,0,,0,,16.1,,,,,,,,,,3/28/2024,5/31/2023,3,Significant,Not Rated,,,,Yes,7/17/2012,No,https://damsafety.org/utah
Duck Fork,,,UT00095,,UT00095,DIVISION OF WILDLIFE RESOURCES,State,State,0,No,USDA NRCS,,Recreation,Recreation,Utah,UT00095,39.17350912,-111.4474084,Utah,Sanpete,FERRON,18,DUCK FORK,"Utah, Congressional District 04",,Yes,Yes,Utah Division of Water Rights,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,41,46,46,25-50 feet,1220,,1978,1970-1979,,1030,1030,850,,3.6,,Uncontrolled,,,,,,,,3/28/2024,9/13/2023,2,Significant,Not Rated,,,,Yes,5/30/2012,No,https://damsafety.org/utah
Willis River Dam #9,Spencer,,VA029010,,VA029010,Peter Francisco Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Virginia,29010,37.4824,-78.3719,Virginia,Buckingham,,4,PAYNE CREEK,"Virginia, Congressional District 05",,Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,36,,,36,25-50 feet,340,,,Undetermined,,590,590,55,11,2.5,,,,,,,,,,12/4/2022,2/22/2022,1,High,Fair,2/22/2022,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,Yes,8/16/2017,No,https://damsafety.org/virginia
Willis River Dam #5e,Hardiman,,VA029005,,VA029005,Peter Francisco Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Virginia,29005,37.5101,-78.441,Virginia,Buckingham,,1,WHISPERING CREEK,"Virginia, Congressional District 05",,Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,42,,,42,25-50 feet,784,,,Undetermined,,1448,1448,185,18.2,6.6,,,,,,,,,,12/4/2022,2/23/2022,1,High,Fair,2/23/2022,"Under Investigation, Planning, Permitting, or Design for Remediation",4/7/2021,Yes,8/16/2017,No,https://damsafety.org/virginia
Chippewa Creek Structure V-C,,,OH00729,,OH00729,"MWCD, Chippewa Subdistrict",Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,0717-002,40.93916667,-81.88555556,Ohio,Wayne,EASTON,,TRIBUTARY TO STEELE DITCH,"Ohio, Congressional District 07",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,28,,,28,25-50 feet,585,28000,1971,1970-1979,,820.3,820.3,25.5,8.5,3.44,3231,,,,,,,,,2/1/2024,6/11/2020,5,Significant,Satisfactory,6/11/2020,,,Yes,9/15/2014,No,https://damsafety.org/ohio
Rushcreek Structure No. V-C,,,OH00725,,OH00725,Rushcreek Conservancy District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,9523-001,39.74027778,-82.41055556,Ohio,Fairfield,BREMEN,3.8,TRIBUTARY TO RUSH CREEK,"Ohio, Congressional District 12",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,36,,,36,25-50 feet,841,91806,1969,1960-1969,,780,780,34,12.8,2.54,3659,,,,,,,,,2/1/2024,4/12/2022,5,High,Fair,4/12/2022,,,Yes,9/22/2008,No,https://damsafety.org/ohio
Midvale Dam,Wanaque Reservoir,,NJ00205,S005,NJ00213S005,North Jersey District Water Supply Commission,State,State,0,Yes,,,Water Supply,Water Supply,New Jersey,23-31,41.05478333,-74.29245,New Jersey,Passaic,,,Wanaque River,"New Jersey, Congressional District 05",,Yes,Yes,NJDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,,,61,,,61,51-100 feet,290,,1928,1920-1929,,71325,,71325,2400,90.4,0,,,,,,,,,1/15/2025,10/3/2023,2,High,Satisfactory,10/3/2023,,10/22/2022,Yes,2/8/2022,No,https://damsafety.org/new-jersey
Chippewa Creek Structure Viii-C,,,OH01085,,OH01085,"MWCD, Chippewa Subdistrict",Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,1016-032,41.05777778,-81.79527778,Ohio,Medina,RIVER STYX,0.2,RIVER STYX,"Ohio, Congressional District 07",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,25,,,25,25-50 feet,2400,77000,1976,1970-1979,,2860,2860,0,0,3.71,12545,,,,,,,,,2/1/2024,6/11/2020,5,High,Satisfactory,6/11/2020,,,Yes,6/6/2017,No,https://damsafety.org/ohio
Chippewa Creek Structure Iii-A,,,OH02010,,OH02010,"MWCD, Chippewa Subdistrict",Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction;Recreation,Ohio,1016-033,41.03638889,-81.85222222,Ohio,Medina,SEVILLE,2.5,HUBBARD CREEK,"Ohio, Congressional District 07",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,55,,,55,51-100 feet,2600,243330,1980,1980-1989,,1519,1519,171,21,5.54,32397,,,,,,,,,2/1/2024,6/11/2020,5,High,Satisfactory,6/11/2020,,,Yes,11/16/2006,No,https://damsafety.org/ohio
East Fork Buck Creek Structure Iii-A,,,OH00711,,OH00711,East Fork Buck Creek Cons. District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,0035-014,40.04222222,-83.65027778,Ohio,Champaign,CATAWBA STATION,0.9,EAST FORK BUCK CREEK,"Ohio, Congressional District 04",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,35,,,35,25-50 feet,288,13709,1966,1960-1969,,31.9,31.9,5,1,0.18,984,,,,,,,,,2/1/2024,11/21/2019,5,Significant,Fair,11/21/2019,,,No,,No,https://damsafety.org/ohio
Rushcreek Structure No. Iii-A,,,OH00660,,OH00660,Rushcreek Conservancy District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,9622-003,39.75138889,-82.31805556,Ohio,Perry,CARTHON,,TRIBUTARY TO CENTER BRANCH RUSH CREEK,"Ohio, Congressional District 12",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,34,,,34,25-50 feet,700,58000,1969,1960-1969,,415,415,82,12.3,1.26,4490,,,,,,,,,2/1/2024,4/20/2017,5,High,Fair,4/20/2017,,,No,,No,https://damsafety.org/ohio
Hunters Run Structure No. R-65,,,OH03189,,OH03189,Hunters Run Conservancy District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,9625-019,39.76055556,-82.62666667,Ohio,Fairfield,,,TRIBUTARY TO HOCKING RIVER,"Ohio, Congressional District 12",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1953 Pilot Watershed Program (Public Law 83-156),Earth,Earth,,,28,,,28,25-50 feet,453,,1961,1960-1969,,46,46,5,1,0.21,340,,,,,,,,,2/1/2024,6/22/2022,5,Low,Satisfactory,5/24/2017,,,Yes,12/17/2020,No,https://damsafety.org/ohio
East Fork Buck Creek Structure Ii-B,,,OH01335,,OH01335,East Fork Buck Creek Cons. District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Ohio,0034-008,40.06166667,-83.61611111,Ohio,Champaign,CATAWBA STATION,3.2,TRIBUTARY TO EAST FORK BUCK CREEK,"Ohio, Congressional District 04",,Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,26,,,26,25-50 feet,450,16019,1966,1960-1969,,40.4,40.4,3.5,1.4,0.26,647,,,,,,,,,2/1/2024,11/21/2019,5,Significant,Fair,11/21/2019,,,No,,No,https://damsafety.org/ohio
Tippah River Watershed Structure Lt-7-21 Dam,,,MS02846,,MS02846,,Local Government,Local Government,0,No,USDA NRCS,Yes,Flood Risk Reduction,Flood Risk Reduction,Mississippi,MS02846,34.58782292,-89.27804983,Mississippi,Benton,,,,"Mississippi, Congressional District 01",,Yes,Yes,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,,34,,,34,25-50 feet,,,1975,1970-1979,,1085,1085,,,1.71,,Uncontrolled,,,,,,,,5/31/2023,1/26/2022,,Low,,,,,Not Required,,No,https://damsafety.org/mississippi
Oaklimeter Creek Watershed Structure Lt-8-04 Dam,,,MS01468,,MS01468,,Local Government,Local Government,0,No,USDA NRCS,Yes,Flood Risk Reduction,Flood Risk Reduction,Mississippi,MS01468,34.66924907,-89.18211556,Mississippi,Benton,,,,"Mississippi, Congressional District 01",,Yes,Yes,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,,25,,,25,25-50 feet,,,1959,1950-1959,,155,155,,,0.71,,Uncontrolled,,,,,,,,5/31/2023,,,Low,,,,,Not Required,,No,https://damsafety.org/mississippi
Oaklimeter Creek Watershed Structure Lt-8-17 Dam,Buck Ruckner Lake Dam,,MS00939,,MS00939,USDA FOREST SERVICE,Local Government,Local Government,0,No,USDA NRCS,Yes,Flood Risk Reduction,Flood Risk Reduction,Mississippi,MS00939,34.63829515,-89.23072249,Mississippi,Benton, WINBORN,3,UNT OF PECHAHALEE CREEK,"Mississippi, Congressional District 01",,Yes,Yes,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,Earth,Soil,21,18,28,28,25-50 feet,667,28184,1963,1960-1969,,490,490,61,20,1,2070,Uncontrolled,,,,,,,Uncontrolled,5/31/2023,9/1/2020,5,Low,Poor,10/7/2019,,,Not Required,,No,https://damsafety.org/mississippi
East Fork Clarks River FRS No 32,East Fork Clarks River FRS No 32,,KY00200,,KY00200,MARSHALL COUNTY CONSERVATION DISTRICT,Local Government,Local Government,0,No,"L.E. GREGG & ASSOCIATES / LEXINGTON, KY.;USDA NRCS",,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00200,36.919294,-88.355955,Kentucky,Marshall,SHADY GROVE,15,EAST FORK CLARKS RIVER,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,22,,,22,Less than 25 feet,920,,1962,1960-1969,,582,582,75,18.2,2.4,,Uncontrolled,45,,,,,,,2/3/2025,12/12/2024,1,High,Poor,12/12/2024,,,Not Required,,No,https://damsafety.org/kentucky
East Fork Clarks River FRS 28A,East Fork Clarks River FRS 28a,,KY00199,,KY00199,MARSHALL COUNTY CONSERVATION DISTRICT,Local Government,Local Government,0,No,SOIL CONSERVATION SERVICE;USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,Kentucky,KY00199,36.84896,-88.43455,Kentucky,Marshall,SHADY GROVE,15,EAST FORK CLARKS RIVER,"Kentucky, Congressional District 01",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,38,,,38,25-50 feet,2230,,1969,1960-1969,,7208,7208,427,96,15.5,,Uncontrolled,60,,,,,,,4/29/2025,4/11/2025,1,High,Unsatisfactory,4/11/2025,,,Not Required,,No,https://damsafety.org/kentucky
